,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sep-26,oct-26,nov-26,dic-26,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMV  - Plan Original,350.000.000,400.000.000,456.998.496,479.848.421,503.840.842,525.058.857,813.841.229,1.017.301.536,1.452.441.781,1.510.539.452,2.039.228.260,1.688.331.443,11.237.430.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMV  - Plan V2,175.439.531,196.000.000,332.708.333,349.784.967,458.410.548,475.233.128,618.258.889,710.221.161,609.712.863,772.089.722,1.273.391.997,1.848.246.429,7.819.497.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+8,175.799.372,196.000.000,332.708.333,244.000.000,324.975.405,359.972.757,469.964.432,509.961.405,609.953.838,879.933.405,1.599.878.918,2.116.349.703,7.819.497.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan 4+8,,,,,,,,,,,,,,,,,,
,,,,886.551.363,217.974,712.407.345,175.157,585.757.150,144.018,759.901.168,186.835,2.944.617.026,723.984,,,,,,,,,,,,,,,,,,,,,,637.289.168,156.657,10.443,642.104.085,157.848,10.526,417.226.276,102.530,6.838,519.000.534,127.528,8.501,2.215.620.052,544.554,36.305
Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Vilo NMV,Vilo NSI,VUrq NMV,VUrq NSI,Caballito NMV,Caballito NSI,Total NMV,Total NSI,,,Mes,,,,,,,,Mes,Fecha,Scala NMV,Vilo NMV,VUrq NMV,Caballito NMV,,Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Scala Purchases,Vilo NMV,Vilo NSI,Vilo Purchases,VUrq NMV,VUrq NSI,VUrq Purchases,Caballito NMV,Caballito NSI,Caballito Purchases,Total NMV,Total NSI,Total Purchases
domingo,3,1-mar,10,2.209.427,569,1.775.433,457,1.459.800,376,1.893.795,487,7.338.455,1.889,,Valores,3,4,5,6,7,8,Suma total,,3,1-mar,2%,2%,2%,2%,,domingo,3,1-mar,10,2.001.176,510,34,2.019.243,515,34,1.245.337,317,21,1.500.056,382,25,6.765.813,1.724,115
lunes,3,2-mar,10,3.916.267,1.008,3.147.000,810,2.587.534,666,3.356.800,864,13.007.602,3.348,,SUM de Scala NMV,"100.170.250,7","105.311.602,9","138.016.078,9","143.080.941,9","186.142.461,2","213.830.026,9","886.551.362,5",,3,2-mar,4%,4%,4%,4%,,lunes,3,2-mar,10,3.547.137,904,60,3.579.161,912,61,2.207.392,563,38,2.658.889,678,45,11.992.578,3.056,204
martes,3,3-mar,10,3.899.949,1.004,3.133.888,807,2.576.752,663,3.342.814,860,12.953.404,3.334,,SUM de Vilo NMV,80.493.951,84.625.395,110.905.778,114.975.757,149.578.763,171.827.700,712.407.345,,3,3-mar,4%,4%,4%,4%,,martes,3,3-mar,10,3.532.357,900,60,3.564.248,908,61,2.198.194,560,37,2.647.810,675,45,11.942.609,3.043,203
miércoles,3,4-mar,10,3.573.594,920,2.871.638,739,2.361.125,608,3.063.080,788,11.869.437,3.055,,SUM de VUrq NMV,66.183.916,69.580.880,91.189.195,94.535.622,122.986.983,141.280.553,585.757.150,,3,4-mar,4%,4%,4%,4%,,miércoles,3,4-mar,10,3.236.762,825,55,3.265.984,832,55,2.014.245,513,34,2.426.236,618,41,10.943.227,2.789,186
jueves,3,5-mar,10,2.777.286,715,2.231.748,574,1.834.993,472,2.380.531,613,9.224.558,2.374,,SUM de Caballito NMV,85.860.215,90.267.088,118.299.496,122.640.807,159.550.681,183.282.880,759.901.168,,3,5-mar,3%,3%,3%,3%,,jueves,3,5-mar,10,2.515.511,641,43,2.538.221,647,43,1.565.409,399,27,1.885.595,481,32,8.504.736,2.167,144
viernes,3,6-mar,10,3.720.454,958,2.989.650,769,2.458.157,633,3.188.960,821,12.357.222,3.181,,,"332.708.332,7","349.784.966,8","458.410.547,9","475.233.128,4","618.258.889,1","710.221.160,7","2.944.617.025,6",,3,6-mar,4%,4%,4%,4%,,viernes,3,6-mar,10,3.369.780,859,57,3.400.203,867,58,2.097.022,534,36,2.525.944,644,43,11.392.949,2.903,194
sábado,3,7-mar,10,2.747.914,707,2.208.145,568,1.815.586,467,2.355.355,606,9.127.001,2.349,,SUM de Scala NMV,30%,30%,30%,30%,30%,30%,30%,,3,7-mar,3%,3%,3%,3%,,sábado,3,7-mar,10,2.488.908,634,42,2.511.378,640,43,1.548.853,395,26,1.865.654,475,32,8.414.792,2.144,143
domingo,3,8-mar,11,2.209.427,569,1.775.433,457,1.459.800,376,1.893.795,487,7.338.455,1.889,,SUM de Vilo NMV,24%,24%,24%,24%,24%,24%,24%,,3,8-mar,2%,2%,2%,2%,,domingo,3,8-mar,11,2.001.176,510,34,2.019.243,515,34,1.245.337,317,21,1.500.056,382,25,6.765.813,1.724,115
lunes,3,9-mar,11,3.916.267,1.008,3.147.000,810,2.587.534,666,3.356.800,864,13.007.602,3.348,,SUM de VUrq NMV,20%,20%,20%,20%,20%,20%,20%,,3,9-mar,4%,4%,4%,4%,,lunes,3,9-mar,11,3.547.137,904,60,3.579.161,912,61,2.207.392,563,38,2.658.889,678,45,11.992.578,3.056,204
martes,3,10-mar,11,3.899.949,1.004,3.133.888,807,2.576.752,663,3.342.814,860,12.953.404,3.334,,SUM de Caballito NMV,26%,26%,26%,26%,26%,26%,26%,,3,10-mar,4%,4%,4%,4%,,martes,3,10-mar,11,3.532.357,900,60,3.564.248,908,61,2.198.194,560,37,2.647.810,675,45,11.942.609,3.043,203
miércoles,3,11-mar,11,3.573.594,920,2.871.638,739,2.361.125,608,3.063.080,788,11.869.437,3.055,,,,,,,,,,,3,11-mar,4%,4%,4%,4%,,miércoles,3,11-mar,11,3.236.762,825,55,3.265.984,832,55,2.014.245,513,34,2.426.236,618,41,10.943.227,2.789,186
jueves,3,12-mar,11,2.777.286,715,2.231.748,574,1.834.993,472,2.380.531,613,9.224.558,2.374,,Tienda,10,11,12,1,2,3,4,,3,12-mar,3%,3%,3%,3%,,jueves,3,12-mar,11,2.515.511,641,43,2.538.221,647,43,1.565.409,399,27,1.885.595,481,32,8.504.736,2.167,144
viernes,3,13-mar,11,3.720.454,958,2.989.650,769,2.458.157,633,3.188.960,821,12.357.222,3.181,,Caballito,,,34.055.079,44.895.424,57.731.083,68.009.031,23.729.623,194.365.161,3,13-mar,4%,4%,4%,4%,,viernes,3,13-mar,11,3.369.780,859,57,3.400.203,867,58,2.097.022,534,36,2.525.944,644,43,11.392.949,2.903,194
sábado,3,14-mar,11,2.747.914,707,2.208.145,568,1.815.586,467,2.355.355,606,9.127.001,2.349,,Scalabrini,10.451.118,34.150.904,56.456.356,50.747.817,69.074.828,90.728.633,25.001.557,235.552.835,3,14-mar,3%,3%,3%,3%,,sábado,3,14-mar,11,2.488.908,634,42,2.511.378,640,43,1.548.853,395,26,1.865.654,475,32,8.414.792,2.144,143
domingo,3,15-mar,12,2.209.427,569,1.775.433,457,1.459.800,376,1.893.795,487,7.338.455,1.889,,Vicente Lopez,,22.656.087,51.330.633,46.035.027,69.560.421,91.547.742,30.131.728,237.274.918,3,15-mar,2%,2%,2%,2%,,domingo,3,15-mar,12,2.001.176,510,34,2.019.243,515,34,1.245.337,317,21,1.500.056,382,25,6.765.813,1.724,115
lunes,3,16-mar,12,3.916.267,1.008,3.147.000,810,2.587.534,666,3.356.800,864,13.007.602,3.348,,Villa Urquiza,,,28.392.332,33.761.265,45.809.648,56.460.652,19.448.679,155.480.243,3,16-mar,4%,4%,4%,4%,,lunes,3,16-mar,12,3.547.137,904,60,3.579.161,912,61,2.207.392,563,38,2.658.889,678,45,11.992.578,3.056,204
martes,3,17-mar,12,3.899.949,1.004,3.133.888,807,2.576.752,663,3.342.814,860,12.953.404,3.334,,TOTAL,10.451.118,56.806.992,170.234.400,175.439.531,242.175.980,306.746.058,98.311.588,822.673.157,3,17-mar,4%,4%,4%,4%,,martes,3,17-mar,12,3.532.357,900,60,3.564.248,908,61,2.198.194,560,37,2.647.810,675,45,11.942.609,3.043,203
miércoles,3,18-mar,12,3.573.594,920,2.871.638,739,2.361.125,608,3.063.080,788,11.869.437,3.055,,Caballito,0%,0%,20%,26%,24%,22%,24%,24%,3,18-mar,4%,4%,4%,4%,,miércoles,3,18-mar,12,3.236.762,825,55,3.265.984,832,55,2.014.245,513,34,2.426.236,618,41,10.943.227,2.789,186
jueves,3,19-mar,12,2.777.286,715,2.231.748,574,1.834.993,472,2.380.531,613,9.224.558,2.374,,Scalabrini,100%,60%,33%,29%,29%,30%,25%,29%,3,19-mar,3%,3%,3%,3%,,jueves,3,19-mar,12,2.515.511,641,43,2.538.221,647,43,1.565.409,399,27,1.885.595,481,32,8.504.736,2.167,144
viernes,3,20-mar,12,3.720.454,958,2.989.650,769,2.458.157,633,3.188.960,821,12.357.222,3.181,,Vicente Lopez,0%,40%,30%,26%,29%,30%,31%,29%,3,20-mar,4%,4%,4%,4%,,viernes,3,20-mar,12,3.369.780,859,57,3.400.203,867,58,2.097.022,534,36,2.525.944,644,43,11.392.949,2.903,194
sábado,3,21-mar,12,2.747.914,707,2.208.145,568,1.815.586,467,2.355.355,606,9.127.001,2.349,,Villa Urquiza,0%,0%,17%,19%,19%,18%,20%,19%,3,21-mar,3%,3%,3%,3%,,sábado,3,21-mar,12,2.488.908,634,42,2.511.378,640,43,1.548.853,395,26,1.865.654,475,32,8.414.792,2.144,143
domingo,3,22-mar,13,2.209.427,569,1.775.433,457,1.459.800,376,1.893.795,487,7.338.455,1.889,,,,,,,,,,,3,22-mar,2%,2%,2%,2%,,domingo,3,22-mar,13,2.001.176,510,34,2.019.243,515,34,1.245.337,317,21,1.500.056,382,25,6.765.813,1.724,115
lunes,3,23-mar,13,3.297.497,849,2.649.774,682,2.178.703,561,2.826.426,727,10.952.401,2.819,,,,,,,,,,,3,23-mar,3%,3%,3%,3%,,lunes,3,23-mar,13,2.986.689,761,51,3.013.653,768,51,1.858.624,474,32,2.238.784,571,38,10.097.751,2.573,172
martes,3,24-mar,13,3.283.757,845,2.638.734,679,2.169.625,558,2.814.649,724,10.906.766,2.807,,,,,,,,,,,3,24-mar,3%,3%,3%,3%,,martes,3,24-mar,13,2.974.245,758,51,3.001.096,765,51,1.850.880,472,31,2.229.456,568,38,10.055.677,2.563,171
miércoles,3,25-mar,13,3.573.594,920,2.871.638,739,2.361.125,608,3.063.080,788,11.869.437,3.055,,,,,,,,,,,3,25-mar,4%,4%,4%,4%,,miércoles,3,25-mar,13,3.236.762,825,55,3.265.984,832,55,2.014.245,513,34,2.426.236,618,41,10.943.227,2.789,186
jueves,3,26-mar,13,2.777.286,715,2.231.748,574,1.834.993,472,2.380.531,613,9.224.558,2.374,,,,,,,,,,,3,26-mar,3%,3%,3%,3%,,jueves,3,26-mar,13,2.515.511,641,43,2.538.221,647,43,1.565.409,399,27,1.885.595,481,32,8.504.736,2.167,144
viernes,3,27-mar,13,3.720.454,958,2.989.650,769,2.458.157,633,3.188.960,821,12.357.222,3.181,,,,,,,,,,,3,27-mar,4%,4%,4%,4%,,viernes,3,27-mar,13,3.369.780,859,57,3.400.203,867,58,2.097.022,534,36,2.525.944,644,43,11.392.949,2.903,194
sábado,3,28-mar,13,2.747.914,707,2.208.145,568,1.815.586,467,2.355.355,606,9.127.001,2.349,,,,,,,,,,,3,28-mar,3%,3%,3%,3%,,sábado,3,28-mar,13,2.488.908,634,42,2.511.378,640,43,1.548.853,395,26,1.865.654,475,32,8.414.792,2.144,143
domingo,3,29-mar,14,2.209.427,569,1.775.433,457,1.459.800,376,1.893.795,487,7.338.455,1.889,,,,,,,,,,,3,29-mar,2%,2%,2%,2%,,domingo,3,29-mar,14,2.001.176,510,34,2.019.243,515,34,1.245.337,317,21,1.500.056,382,25,6.765.813,1.724,115
lunes,3,30-mar,14,3.916.267,1.008,3.147.000,810,2.587.534,666,3.356.800,864,13.007.602,3.348,,,,,,,,,,,3,30-mar,4%,4%,4%,4%,,lunes,3,30-mar,14,3.547.137,904,60,3.579.161,912,61,2.207.392,563,38,2.658.889,678,45,11.992.578,3.056,204
martes,3,31-mar,14,3.899.949,1.004,3.133.888,807,2.576.752,663,3.342.814,860,12.953.404,3.334,,,,,,,,,,,3,31-mar,4%,4%,4%,4%,,martes,3,31-mar,14,3.532.357,900,60,3.564.248,908,61,2.198.194,560,37,2.647.810,675,45,11.942.609,3.043,203
miércoles,4,1-abr,14,3.148.723,798,2.530.224,641,2.080.406,527,2.698.905,684,10.458.258,2.649,,,,,,,,,,,4,1-abr,3%,3%,3%,3%,,miércoles,4,1-abr,14,2.088.859,529,35,2.104.130,533,36,1.378.783,349,23,1.723.610,437,29,7.295.382,1.848,123
jueves,4,2-abr,14,2.447.090,620,1.966.411,498,1.616.827,410,2.097.505,531,8.127.833,2.059,,,,,,,,,,,4,2-abr,2%,2%,2%,2%,,jueves,4,2-abr,14,1.623.396,411,27,1.635.264,414,28,1.071.547,271,18,1.339.537,339,23,5.669.744,1.436,96
viernes,4,3-abr,14,3.278.122,830,2.634.205,667,2.165.902,549,2.809.819,712,10.888.049,2.758,,,,,,,,,,,4,3-abr,3%,3%,3%,3%,,viernes,4,3-abr,14,2.174.702,551,37,2.190.601,555,37,1.435.445,364,24,1.794.444,455,30,7.595.192,1.924,128
sábado,4,4-abr,14,2.875.546,728,2.310.707,585,1.899.914,481,2.464.754,624,9.550.921,2.420,,,,,,,,,,,4,4-abr,3%,3%,3%,3%,,sábado,4,4-abr,14,1.907.633,483,32,1.921.580,487,32,1.259.163,319,21,1.574.074,399,27,6.662.449,1.688,113
domingo,4,5-abr,15,2.312.048,586,1.857.896,471,1.527.603,387,1.981.756,502,7.679.303,1.945,,,,,,,,,,,4,5-abr,2%,2%,2%,2%,,domingo,4,5-abr,15,1.533.810,389,26,1.545.023,391,26,1.012.415,256,17,1.265.615,321,21,5.356.862,1.357,90
lunes,4,6-abr,15,4.098.165,1.038,3.293.169,834,2.707.716,686,3.512.713,890,13.611.763,3.448,,,,,,,,,,,4,6-abr,4%,4%,4%,4%,,lunes,4,6-abr,15,2.718.717,689,46,2.738.594,694,46,1.794.531,455,30,2.243.335,568,38,9.495.177,2.405,160
martes,4,7-abr,15,4.081.090,1.034,3.279.447,831,2.696.434,683,3.498.077,886,13.555.048,3.434,,,,,,,,,,,4,7-abr,4%,4%,4%,4%,,martes,4,7-abr,15,2.707.389,686,46,2.727.183,691,46,1.787.054,453,30,2.233.988,566,38,9.455.614,2.395,160
miércoles,4,8-abr,15,3.851.763,976,3.095.167,784,2.544.915,645,3.301.511,836,12.793.356,3.241,,,,,,,,,,,4,8-abr,4%,4%,4%,4%,,miércoles,4,8-abr,15,2.555.255,647,43,2.573.936,652,43,1.686.635,427,28,2.108.455,534,36,8.924.280,2.261,151
jueves,4,9-abr,15,2.993.471,758,2.405.467,609,1.977.829,501,2.565.832,650,9.942.599,2.519,,,,,,,,,,,4,9-abr,3%,3%,3%,3%,,jueves,4,9-abr,15,1.985.865,503,34,2.000.383,507,34,1.310.800,332,22,1.638.625,415,28,6.935.673,1.757,117
viernes,4,10-abr,15,4.010.055,1.016,3.222.365,816,2.649.500,671,3.437.190,871,13.319.110,3.374,,,,,,,,,,,4,10-abr,4%,4%,4%,4%,,viernes,4,10-abr,15,2.660.265,674,45,2.679.714,679,45,1.755.949,445,30,2.195.103,556,37,9.291.031,2.354,157
sábado,4,11-abr,15,2.961.812,750,2.380.028,603,1.956.912,496,2.538.696,643,9.837.448,2.492,,,,,,,,,,,4,11-abr,3%,3%,3%,3%,,sábado,4,11-abr,15,1.964.862,498,33,1.979.227,501,33,1.296.937,329,22,1.621.296,411,27,6.862.323,1.738,116
domingo,4,12-abr,16,2.381.410,603,1.913.633,485,1.573.431,399,2.041.208,517,7.909.682,2.004,,,,,,,,,,,4,12-abr,2%,2%,2%,2%,,domingo,4,12-abr,16,1.579.824,400,27,1.591.374,403,27,1.042.787,264,18,1.303.583,330,22,5.517.568,1.398,93
lunes,4,13-abr,16,4.221.110,1.069,3.391.964,859,2.788.948,707,3.618.094,917,14.020.116,3.552,,,,,,,,,,,4,13-abr,4%,4%,4%,4%,,lunes,4,13-abr,16,2.800.279,709,47,2.820.751,715,48,1.848.367,468,31,2.310.635,585,39,9.780.032,2.478,165
martes,4,14-abr,16,4.203.522,1.065,3.377.830,856,2.777.327,704,3.603.019,913,13.961.699,3.537,,,,,,,,,,,4,14-abr,4%,4%,4%,4%,,martes,4,14-abr,16,2.788.611,706,47,2.808.998,712,47,1.840.665,466,31,2.301.008,583,39,9.739.282,2.467,164
miércoles,4,15-abr,16,3.967.316,1.005,3.188.022,808,2.621.262,664,3.400.557,861,13.177.157,3.338,,,,,,,,,,,4,15-abr,4%,4%,4%,4%,,miércoles,4,15-abr,16,2.631.912,667,44,2.651.154,672,45,1.737.234,440,29,2.171.708,550,37,9.192.008,2.329,155
jueves,4,16-abr,16,3.083.275,781,2.477.632,628,2.037.164,516,2.642.807,670,10.240.877,2.594,,,,,,,,,,,4,16-abr,3%,3%,3%,3%,,jueves,4,16-abr,16,2.045.440,518,35,2.060.394,522,35,1.350.124,342,23,1.687.784,428,29,7.143.743,1.810,121
viernes,4,17-abr,16,4.130.356,1.046,3.319.036,841,2.728.985,691,3.540.305,897,13.718.684,3.475,,,,,,,,,,,4,17-abr,4%,4%,4%,4%,,viernes,4,17-abr,16,2.740.073,694,46,2.760.105,699,47,1.808.627,458,31,2.260.957,573,38,9.569.762,2.424,162
sábado,4,18-abr,16,3.050.667,773,2.451.429,621,2.015.619,511,2.614.857,662,10.132.572,2.567,,,,,,,,,,,4,18-abr,3%,3%,3%,3%,,sábado,4,18-abr,16,2.023.808,513,34,2.038.604,516,34,1.335.846,338,23,1.669.935,423,28,7.068.192,1.791,119
domingo,4,19-abr,17,2.452.852,621,1.971.042,499,1.620.634,411,2.102.445,533,8.146.973,2.064,,,,,,,,,,,4,19-abr,2%,2%,2%,2%,,domingo,4,19-abr,17,1.627.219,412,27,1.639.115,415,28,1.074.071,272,18,1.342.691,340,23,5.683.095,1.440,96
lunes,4,20-abr,17,4.347.744,1.101,3.493.722,885,2.872.616,728,3.726.637,944,14.440.720,3.658,,,,,,,,,,,4,20-abr,4%,4%,4%,4%,,lunes,4,20-abr,17,2.884.287,731,49,2.905.374,736,49,1.903.818,482,32,2.379.954,603,40,10.073.433,2.552,170
martes,4,21-abr,17,4.329.628,1.097,3.479.165,881,2.860.647,725,3.711.110,940,14.380.550,3.643,,,,,,,,,,,4,21-abr,4%,4%,4%,4%,,martes,4,21-abr,17,2.872.270,728,49,2.893.268,733,49,1.895.885,480,32,2.370.038,600,40,10.031.461,2.541,169
miércoles,4,22-abr,17,4.086.335,1.035,3.283.662,832,2.699.900,684,3.502.573,887,13.572.471,3.438,,,,,,,,,,,4,22-abr,4%,4%,4%,4%,,miércoles,4,22-abr,17,2.710.870,687,46,2.730.688,692,46,1.789.351,453,30,2.236.860,567,38,9.467.768,2.399,160
jueves,4,23-abr,17,3.175.773,805,2.551.960,647,2.098.279,532,2.722.091,690,10.548.103,2.672,,,,,,,,,,,4,23-abr,3%,3%,3%,3%,,jueves,4,23-abr,17,2.106.804,534,36,2.122.206,538,36,1.390.628,352,23,1.738.418,440,29,7.358.056,1.864,124
